Matrix Size (n),FLOP/s
100,2.62123e+09
200,1.59968e+09
300,2.149e+09
400,1.91353e+09
500,2.18828e+09
600,2.08545e+09
700,2.19534e+09
800,1.82503e+09
900,2.18047e+09
1000,1.54242e+09
1100,2.01063e+09
1200,1.92186e+09
1300,1.82883e+09
1400,1.62556e+09
1500,1.6632e+09
1600,1.82028e+09
1700,1.61392e+09
1800,1.78456e+09
1900,1.45642e+09
2000,1.74613e+09
2100,1.74459e+09
2200,1.89404e+09
2300,1.64887e+09
2400,1.57052e+09
2500,1.4733e+09
2600,1.60701e+09
2700,1.68946e+09
2800,1.70912e+09
2900,1.64114e+09
3000,1.30942e+09
3100,1.62494e+09
3200,1.64416e+09
3300,1.68641e+09
3400,1.63262e+09
3500,1.87224e+09
3600,1.86752e+09
3700,1.78003e+09
3800,1.83664e+09
3900,1.82657e+09
4000,1.86896e+09
4100,1.86074e+09
4200,1.81064e+09
4300,1.84908e+09
4400,1.79148e+09
4500,1.84394e+09
4600,1.81925e+09
4700,1.84557e+09
4800,1.84224e+09
4900,1.89765e+09
5000,1.90972e+09
5100,1.8029e+09
5200,1.69735e+09
5300,1.65354e+09
5400,1.4147e+09
5500,1.62217e+09
5600,1.71509e+09
5700,1.44699e+09
5800,1.6103e+09
5900,1.75598e+09
6000,1.8465e+09
6100,1.78758e+09
6200,1.7677e+09
6300,1.82911e+09
6400,1.83399e+09
6500,1.83485e+09
6600,1.80117e+09
6700,1.74329e+09
6800,1.77264e+09
6900,1.74691e+09
7000,1.79802e+09
7100,1.82237e+09
7200,1.73421e+09
7300,1.85502e+09
7400,1.8364e+09
7500,1.63914e+09
7600,1.60073e+09
7700,1.83636e+09
7800,1.85074e+09
7900,1.83648e+09
8000,1.82335e+09
8100,1.85047e+09
8200,1.85168e+09
8300,1.82296e+09
8400,1.8514e+09
8500,1.82782e+09
8600,1.8226e+09
8700,1.79452e+09
8800,1.84596e+09
8900,1.79385e+09
9000,1.79555e+09
9100,1.84727e+09
9200,1.77598e+09
9300,1.84655e+09
9400,1.83052e+09
9500,1.84702e+09
9600,1.84597e+09
9700,1.8113e+09
9800,1.83222e+09
9900,1.81094e+09
10000,1.82886e+09
